queueId,teamColor,matchId,assists,baronKills,bountyLevel,champExperience,champLevel,championId,championName,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,objectivesStolen,objectivesStolenAssists,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
5V5 RANKED SOLO GAMES,Red,3927462189,5,0,0,5969,9,235,Senna,0,5,1116.0,1319,1116,5158,5,1,0,0,False,False,False,False,False,True,6150,5875,UTILITY,0,1.0,Kraken Slayer,Refillable Potion,Black Mist Scythe,Control Ward,Berserker's Greaves,Rageknife,Oracle Lens,17,0,2,BOTTOM,293,0,1,574,0,0,2927,0,0,0.0,0,0,10,0,32646,10180,7247,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,44,25,15,4,3,,4,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,268,From Iron,False,200,UTILITY,26,1212,34587,11018,607,10646,6417,3029,24,113,116,6,0,1941,838,472,0,6.0,0,28,3,5,15,False
5V5 RANKED SOLO GAMES,Red,3927346919,10,0,0,10327,13,111,Nautilus,0,12,487.0,738,487,14240,4,9,0,0,True,False,False,False,False,False,7115,6475,UTILITY,0,2.0,Plated Steelcaps,Locket of the Iron Solari,Bulwark of the Mountain,,Kindlegem,Glacial Buckler,Oracle Lens,26,0,1,BOTTOM,0,0,1,1096,9882,3923,3068,2,0,1.0,0,0,10,0,5165,681,6704,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,54,30,27,11,9,,5,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,268,From Iron,False,200,UTILITY,35,1940,20605,5124,543,11593,879,396,25,235,97,5,0,5557,520,1820,0,10.0,0,76,10,5,40,False
5V5 RANKED SOLO GAMES,Red,3927028042,23,0,0,12463,14,89,Leona,0,13,438.0,1387,438,25987,2,7,0,0,True,False,False,False,False,False,9501,8775,UTILITY,0,1.0,Mercury's Treads,Locket of the Iron Solari,Pauldrons of Whiterock,Control Ward,Abyssal Mask,Bramble Vest,Oracle Lens,33,1,3,BOTTOM,0,3,1,869,8075,3186,6097,0,0,0.0,0,0,10,0,6593,1847,10116,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,48,35,25,10,11,,4,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,268,From Iron,False,200,UTILITY,35,1966,20458,5431,888,17543,3966,406,42,56,72,5,0,5789,396,1329,0,7.0,0,100,10,16,38,True
5V5 RANKED SOLO GAMES,Blue,3927064248,18,0,0,7212,10,111,Nautilus,0,9,138.0,138,138,12752,2,5,0,0,True,False,False,False,False,True,6641,6425,UTILITY,0,0.0,Plated Steelcaps,Locket of the Iron Solari,Bulwark of the Mountain,Control Ward,Giant's Belt,Negatron Cloak,Oracle Lens,21,0,2,NONE,0,0,1,398,8736,3595,2446,0,0,0.0,0,0,5,0,7307,2145,6909,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,45,23,18,4,10,,5,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,268,From Iron,False,100,UTILITY,46,1159,22190,6265,126,9774,1332,677,29,195,41,5,0,6146,524,418,0,1.0,0,45,7,4,21,True
5V5 RANKED SOLO GAMES,Red,3927019948,7,0,0,6413,10,111,Nautilus,0,11,0.0,0,0,28668,7,7,0,0,False,False,False,False,False,False,6183,6025,UTILITY,0,1.0,Mercury's Treads,Locket of the Iron Solari,Bulwark of the Mountain,Control Ward,Kindlegem,Cloth Armor,Oracle Lens,24,0,1,BOTTOM,0,0,1,696,9689,4285,5090,0,0,1.0,0,0,10,0,5820,1210,13664,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,52,36,31,7,16,,6,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,268,From Iron,False,200,UTILITY,39,1684,21648,6455,565,20225,638,426,35,222,209,5,0,6138,960,1470,0,7.0,0,57,9,8,33,False
5V5 RANKED SOLO GAMES,Red,3927003126,10,0,0,8005,11,111,Nautilus,0,13,0.0,0,0,23246,6,8,0,0,True,False,False,False,False,True,7098,6500,UTILITY,0,1.0,Mobility Boots,Locket of the Iron Solari,Bulwark of the Mountain,Control Ward,Bramble Vest,Giant's Belt,Oracle Lens,28,1,3,BOTTOM,1,3,1,439,9637,3931,5268,0,0,0.0,0,0,10,0,5642,1505,11828,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,53,42,26,6,12,,4,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,268,From Iron,False,200,UTILITY,42,1591,22256,6014,461,17637,1282,640,33,241,142,5,0,6976,578,541,0,8.0,0,59,10,8,29,False
5V5 RANKED SOLO GAMES,Red,3926918940,3,0,0,4224,8,89,Leona,0,6,0.0,0,0,8129,6,4,0,0,False,False,False,False,False,True,4148,3150,UTILITY,0,0.0,Plated Steelcaps,Refillable Potion,Runesteel Spaulders,,Kindlegem,Cloth Armor,Oracle Lens,15,1,2,NONE,0,2,1,341,2710,835,2568,0,0,0.0,0,0,10,0,3299,1269,5596,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,29,15,12,2,8,,3,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,268,From Iron,False,200,UTILITY,27,965,10228,2426,0,8343,76,106,18,37,67,4,0,4219,322,178,0,3.0,0,20,4,4,7,False
5V5 RANKED SOLO GAMES,Blue,3926913287,9,0,0,10111,13,143,Zyra,0,13,0.0,3370,0,7464,11,8,1,0,False,False,False,False,False,True,9081,8300,UTILITY,0,1.0,Liandry's Anguish,Morellonomicon,Shard of True Ice,Control Ward,Sorcerer's Shoes,,Oracle Lens,27,1,3,BOTTOM,0,2,2,371,57982,22812,6769,4,0,0.0,0,0,5,0,3751,1149,12127,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,77,81,42,11,4,,4,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,267,From Iron,False,100,UTILITY,58,1935,62071,24299,0,19301,2020,0,39,241,261,1,0,338,338,404,0,7.0,0,95,10,10,58,False
5V5 RANKED SOLO GAMES,Red,3926827932,19,0,0,10591,13,43,Karma,0,12,1226.0,3760,1226,9046,5,9,0,0,False,False,True,False,False,False,8770,7950,UTILITY,0,0.0,Mikael's Blessing,Shurelya's Battlesong,Shard of True Ice,Control Ward,Ionian Boots of Lucidity,Forbidden Idol,Oracle Lens,28,0,1,BOTTOM,0,0,1,927,24618,8103,4279,4,0,0.0,0,0,10,0,5839,638,10593,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SUPPORT,0,80,15,150,32,5,,5,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,267,From Iron,False,200,UTILITY,18,1833,33287,9451,7004,15088,1122,170,27,197,165,2,0,2829,709,215,0,2.0,0,78,10,10,34,True
5V5 RANKED SOLO GAMES,Blue,3926800973,2,0,0,6865,10,111,Nautilus,0,9,0.0,0,0,12656,4,5,0,0,False,False,False,False,False,False,5118,5025,UTILITY,0,1.0,Mercury's Treads,Locket of the Iron Solari,Bulwark of the Mountain,Control Ward,Ruby Crystal,,Oracle Lens,22,0,0,BOTTOM,0,0,0,1114,7878,3609,1684,0,0,1.0,0,0,5,0,3785,868,9125,4568,6zpHc103eNNhAt8xC6Ujhak476wF7TuTm4K4vrCU2Zuu9YfJo1teFVMGF-89uxRf0HZdF_jmjQplhg,0,,,SOLO,0,58,23,15,6,12,,3,,-wR2sAu8IN0jiLgjgGyDQsjpnyX5tSwTwZHcIE7L9aS1TbyQ,267,From Iron,False,100,UTILITY,28,1577,18541,5027,0,11374,482,270,35,130,127,4,0,6877,550,564,0,9.0,0,58,7,9,31,False
